Controller,Axis,DirectionSign,SignedForce_N,Impulse_Ns,Outcome,Fell,Recovered,FirstEnvelopeEntryTime_s,RecoveryTime_s,FallByVerticalDrop,FallByHorizontalTravel,FallByRotation,PeakVerticalDrop_m,PeakHorizontalTravel_m,PeakAbsoluteRotationDeviation_deg,ContactLoss,ContactLossDuration_s,ActuatorSaturation,ActuatorSaturationDuration_s,PeakForceInducedAxisDisplacement_m,PeakForceInducedAxisTilt_deg,LateForceInducedAxisDisplacementRMS_m,LateForceInducedAxisTiltRMS_deg,LateForceInducedAxisVelocityRMS_m_s,AxisDisplacementLateEarlyRatio,AxisTiltLateEarlyRatio,ForceInducedPostureRMS_deg,MaxForceInducedJointDeviation_deg,PurePDTorqueRMS_Nm,PeakPurePDTorque_Nm,AppliedTorqueRMS_Nm,PeakAppliedTorque_Nm,MinimumRightFootLoad_N,MinimumLeftFootLoad_N
A,sagittal,-1,-50,5,recovered,0,1,0.875,0.875,0,0,0,0.00662799981835827,0.023334264250586,2.91275382337647,0,0,0,0,0.0181647438368114,3.10069193170157,0.00115863275842879,0.479277083410852,0.000187883743814982,0.208534400289193,0.262445008680771,0.894279090414622,8.20776248510589,2.23705634634119,33.813455336145,5.21719671920548,41.343868159845,118.452109112538,118.458192478764
D,sagittal,1,50,5,upright_not_recovered,0,0,NaN,NaN,0,0,0,0.0215060941422274,0.0162353431742794,2.99941924929495,0,0,0,0,0.0180764191702205,3.82814730191882,0.000312911383604094,3.58791154038765,1.77729416219208e-05,0.0793268173325429,1.63846842643027,2.37322492156136,8.46775048435901,3.28743446274633,39.9093477145181,5.63223000075241,38.3664042205072,98.1961883305617,98.1955584674071
D,sagittal,-1,-50,5,upright_not_recovered,0,0,NaN,NaN,0,0,0,0.00413777729344966,0.0201063081840702,7.02105588472903,0,0,0,0,0.018265231974981,5.98671050139222,0.007627572476699,5.33590715786448,0.00160219605376082,1.80036170648455,2.23118015398897,3.32313153149132,12.0818614755483,2.38823270946706,32.7851120112331,5.28736930259608,42.7746674096176,118.797813121082,118.806815984716
A,sagittal,1,75,7.5,recovered,0,1,3.925,3.925,0,0,0,0.0349591545647625,0.0218001911364346,4.74579428835142,1,0.0250000000000001,0,0,0.0269697115402729,4.55785618002632,0.00354566761609165,1.4797785439958,0.000163294193916823,0.414546835419076,0.563009754713752,1.48101974449645,11.9347957397948,3.79700826491923,56.0583974376741,5.9042740793487,57.7976905219645,0,0
A,sagittal,-1,-75,7.5,recovered,0,1,2.225,2.225,0,0,0,0.00793487259049552,0.0323922455708449,4.3607172848537,1,0.0250000000000001,0,0,0.0272227251608184,4.5486553931788,0.000935008867033748,0.177901356156094,0.000411831203301726,0.114460225154241,0.0666396700385296,1.52848518487734,12.1664330218831,2.88262145770013,52.4415185891101,5.50501431558427,57.5648789263586,0,0
D,sagittal,1,75,7.5,upright_not_recovered,0,0,NaN,NaN,0,0,0,0.0332919906332425,0.0252149181185791,4.9947044617236,0,0,0,0,0.0270559941596814,6.02904984506042,0.0010721113325748,5.65028861115555,0.000199598644833506,0.184333914215587,1.75922124643527,3.57351883092349,12.5635700012207,3.91688730340392,57.5326959561918,6.26682811026935,54.047192143966,48.4998391819864,48.5780622463063
D,sagittal,-1,-75,7.5,upright_not_recovered,0,0,NaN,NaN,0,0,0,0.00555500678431198,0.029202712641765,5.03583205051891,1,0.0250000000000001,0,0,0.0273616364480536,4.82626547752258,0.00391002472349387,3.20978769493823,0.000146294887709635,0.579314204050712,0.957112536325288,3.08884970230294,13.0323790519249,2.91147860702055,51.5316715072625,5.45714419246622,59.7856000530632,0,0
A,sagittal,1,100,10,upright_not_recovered,0,0,NaN,NaN,0,0,0,0.0459236806910965,0.0305170011203127,6.16724371091605,1,0.075,0,0,0.0356865215262522,5.97863604487493,0.0087153422554821,3.76082408037365,3.53422514891877e-05,0.777544465036569,1.00658912979139,2.59485012218766,15.831867492112,4.8849394505932,73.0745933310687,6.41933464133004,72.5042192278863,0,0
A,sagittal,-1,-100,10,recovered,0,1,3.375,3.375,0,0,0,0.00739444699838288,0.0415537415993511,5.78489515935057,1,0.05,0,0,0.0363842211890497,5.97283326767567,0.00173576062959343,0.188866565878216,0.000547094483224069,0.152080307781877,0.052320932131838,2.2157631953276,16.518720956455,3.35205685357752,71.312023738183,5.76634247932405,73.9591012736779,0,0
D,sagittal,1,100,10,upright_not_recovered,0,0,NaN,NaN,0,0,0,0.0544266011592334,0.0338332193890922,11.8827379399017,1,0.075,0,0,0.0356742954433658,12.9170833232385,0.0102617853525637,12.0944426017803,0.00190215090506564,1.31417219532142,2.56789431916269,6.38330159909281,19.9235850805512,5.04943899591037,74.6605579443652,7.42114980408374,67.8551254915711,0,0
D,sagittal,-1,-100,10,upright_not_recovered,0,0,3.725,NaN,0,0,0,0.0126779228370024,0.0384093274438062,6.55440594529177,1,0.05,0,0,0.0365682512675449,6.34483937229545,0.00228040464108191,3.90097643576725,0.000267581465981917,0.248532277123152,0.985986119914332,2.88412564400271,17.8517597218553,3.65510993501682,70.509566226463,5.71502040035822,76.9760962949888,0,0
